# chipvoice register log v1
# name: song-golden
# chip: c64
# clock: 985248
# cycles: 3940992
# source: packages/chipvoice/test/golden-c64.mjs
# notes: 152 bpm, 4 s, through the driver
0 D418 0F
3001549 D406 91
3001597 D40B 10
3015425 D407 42
3015429 D408 03
3015433 D409 00
3015437 D40A 08
3015441 D40C 00
3015445 D40D D1
3015449 D40B 11
3015473 D40E FF
3015477 D40F FF
3015481 D410 00
3015485 D411 08
3015489 D413 00
3015493 D414 B1
3015497 D412 81
3031894 D414 61
3034391 D400 10
3034395 D401 23
3048315 D414 21
3050812 D400 2B
3050816 D406 81
3064736 D412 80
3067233 D400 10
3081157 D40E A2
3081161 D40F 0E
3081165 D410 00
3081169 D411 0E
3081173 D413 00
3081177 D414 91
3081181 D412 41
3083653 D400 CE
3083657 D401 22
3097577 D40E 67
3097581 D40F 11
3097585 D414 81
3100074 D400 8D
3113998 D40E ED
3114002 D40F 15
3114006 D414 71
3116495 D400 72
3130419 D40E A2
3130423 D40F 0E
3132916 D400 8D
3146840 D40E 67
3146844 D40F 11
3146848 D414 61
3149337 D400 CE
3163261 D40E ED
3163265 D40F 15
3165757 D400 10
3165761 D401 23
3179681 D412 40
3182178 D400 2B
3196054 D40B 10
3198599 D404 40
3209834 D400 ED
3209838 D401 15
3209842 D402 00
3209846 D403 0C
3209850 D405 00
3209854 D406 F1
3209858 D404 41
3209882 D407 A9
3209886 D408 03
3209890 D409 00
3209894 D40A 08
3209898 D40C 00
3209902 D40D D1
3209906 D40B 11
3209930 D40E 51
3209934 D40F 07
3209938 D410 00
3209942 D411 08
3209946 D413 00
3209950 D414 F1
3209954 D412 11
3226351 D40E FA
3226355 D40F 05
3242676 D406 E1
3242772 D40E E2
3242776 D40F 04
3242780 D414 D1
3259097 D406 D1
3259193 D40E FD
3259197 D40F 03
3259201 D414 A1
3275517 D406 C1
3275613 D40E 42
3275617 D414 61
3292034 D412 10
3308359 D406 B1
3308455 D40E A2
3308459 D40F 0E
3308463 D410 00
3308467 D411 0E
3308471 D413 00
3308475 D414 91
3308479 D412 41
3324876 D40E 67
3324880 D40F 11
3324884 D414 81
3341201 D406 A1
3341297 D40E ED
3341301 D40F 15
3341305 D414 71
3357717 D40E A2
3357721 D40F 0E
3374138 D412 40
3390463 D406 91
3390511 D40B 10
3404339 D407 A9
3404343 D408 03
3404347 D409 00
3404351 D40A 08
3404355 D40C 00
3404359 D40D D1
3404363 D40B 11
3404387 D40E FF
3404391 D40F FF
3404395 D410 00
3404399 D411 08
3404403 D413 00
3404407 D414 B1
3404411 D412 81
3420808 D414 61
3423305 D400 16
3423309 D401 16
3437229 D414 21
3439725 D400 28
3439729 D406 81
3453650 D412 80
3456146 D400 16
3470070 D40E A2
3470074 D40F 0E
3470078 D410 00
3470082 D411 0E
3470086 D413 00
3470090 D414 91
3470094 D412 41
3472567 D400 ED
3472571 D401 15
3486491 D40E 67
3486495 D40F 11
3486499 D414 81
3488988 D400 C4
3502912 D40E ED
3502916 D40F 15
3502920 D414 71
3505409 D400 B3
3519333 D40E A2
3519337 D40F 0E
3521829 D400 C4
3535754 D40E 67
3535758 D40F 11
3535762 D414 61
3538250 D400 ED
3552174 D40E ED
3552178 D40F 15
3554671 D400 16
3554675 D401 16
3568595 D412 40
3571092 D400 28
3584968 D40B 10
3587513 D404 40
3598748 D400 13
3598752 D401 1A
3598756 D402 00
3598760 D403 0C
3598764 D405 00
3598768 D406 F1
3598772 D404 41
3598796 D407 A9
3598800 D408 03
3598804 D409 00
3598808 D40A 08
3598812 D40C 00
3598816 D40D D1
3598820 D40B 11
3598844 D40E 4C
3598848 D40F 68
3598852 D410 00
3598856 D411 08
3598860 D413 00
3598864 D414 F1
3598868 D412 41
3615265 D414 C1
3615269 D412 81
3631590 D406 E1
3631686 D414 91
3648010 D406 D1
3648106 D414 61
3664431 D406 C1
3664527 D414 31
3680948 D412 80
3697273 D406 B1
3697369 D40E A2
3697373 D40F 0E
3697377 D410 00
3697381 D411 0E
3697385 D413 00
3697389 D414 91
3697393 D412 41
3713790 D40E 67
3713794 D40F 11
3713798 D414 81
3730114 D406 A1
3730210 D40E ED
3730214 D40F 15
3730218 D414 71
3746631 D40E A2
3746635 D40F 0E
3763052 D412 40
3779377 D404 40
3779425 D40B 10
3793205 D400 45
3793209 D401 1D
3793213 D402 00
3793217 D403 0C
3793221 D405 00
3793225 D406 F1
3793229 D404 41
3793253 D407 A9
3793257 D408 03
3793261 D409 00
3793265 D40A 08
3793269 D40C 00
3793273 D40D D1
3793277 D40B 11
